Start Time,End Time,Subtitle
00:29:17:11,00:29:18:14,Let's get a decent altitude.
00:29:18:15,00:29:20:14,We can dive down on the bastards from above. Over.
00:29:20:17,00:29:22:05,Understood. Angels two.
00:29:22:09,00:29:23:09,Over.
00:29:25:21,00:29:26:21,"Right, Highlanders."
00:29:27:10,00:29:29:00,Let's find you another ship.
00:30:41:03,00:30:42:03,Come on.
00:30:45:03,00:30:47:17,"Everyone else, keep climbing. Climb on the deck."
00:30:48:06,00:30:51:00,Climb on the deck.
00:30:51:12,00:30:53:13,Watch your heads on the rail. Watch it.
00:30:55:06,00:30:57:03,"That's right, keep going down. Take a blanket."
00:30:57:07,00:30:58:14,"Down you go. Put this on, my love."
00:30:59:05,00:31:02:02,Down you go. Keep going down.
00:31:02:06,00:31:04:09,There's a nice cup of tea for you down there.
00:31:04:13,00:31:05:13,Keep moving down.
00:31:05:17,00:31:07:09,Take a blanket.
00:31:08:14,00:31:09:14,Try and make some room.
00:31:09:18,00:31:11:04,"Keep moving down, boys."
00:31:12:12,00:31:13:14,This way.
00:31:14:17,00:31:16:07,A cup of tea down there.
00:31:41:01,00:31:43:24,There you go. Down there. Move down there.
00:32:03:05,00:32:04:16,What's wrong with your friend?
00:32:24:01,00:32:25:08,He's looking for a quick way out.
00:32:27:17,00:32:29:03,In case we go down.
00:33:07:16,00:33:09:02,Where are we going?
00:33:09:06,00:33:10:18,Dunkirk.
00:33:12:19,00:33:14:21,"No, uh, no, no, we're going to England."
00:33:16:14,00:33:18:14,We have to go to Dunkirk first.
00:33:19:03,00:33:21:22,"Look, I'm not going back."
00:33:23:08,00:33:24:21,I'm not going back.
00:33:25:20,00:33:27:03,Look at it.
00:33:28:09,00:33:30:00,"If we go there, we'll die."
00:33:37:04,00:33:38:04,"I see your point, son."
00:33:39:01,00:33:41:03,"Well, let's plot a course."
00:33:44:12,00:33:47:04,You can take your tea below and warm up.
00:33:49:18,00:33:52:08,"Peter, have we got space for a man to lie down?"
00:33:52:11,00:33:53:21,"Uh, yeah."
00:33:59:07,00:34:00:16,"Here, come on."
00:34:06:01,00:34:07:01,Careful.
00:34:09:11,00:34:10:15,Careful.
00:34:16:23,00:34:18:06,Just in there.
00:34:19:00,00:34:20:11,I'll get you some more tea.
00:34:37:06,00:34:38:19,"Is he a coward, Mr. Dawson?"
00:34:38:23,00:34:40:14,"He's shell-shocked, George."
00:34:40:18,00:34:42:08,He's not himself.
00:34:45:02,00:34:47:11,He may never be himself again.
00:34:56:00,00:34:57:05,Here you are.
00:35:14:19,00:35:16:17,"40 gallons, Fortis 1."
00:35:18:06,00:35:19:09,"40 gallons, understood."
00:35:23:13,00:35:24:24,"Heinkel, 11 o'clock."
00:35:25:10,00:35:28:08,She's lining up to drop her load on that minesweeper.
00:35:28:12,00:35:29:12,Fighters?
00:35:29:16,00:35:32:03,"Yeah, 109s off her starboard."
00:35:33:05,00:35:34:16,I'm on the bomber.
00:36:26:11,00:36:27:11,Got him! Got him!
00:36:59:20,00:37:01:15,"Oh, she's turning. You must've damaged her."
00:37:02:00,00:37:03:05,Where's the escort?
00:37:03:09,00:37:04:13,"Well, I got one of—"
00:37:05:05,00:37:06:05,Jesus!
00:37:25:01,00:37:26:07,I'm going down.
00:37:26:11,00:37:27:24,I'm on him. Bail out.
00:37:48:04,00:37:49:18,"No, the swell looks good. I'm ditching."
00:38:10:14,00:38:11:20,Don't leave us!
00:38:12:18,00:38:14:08,Come back!
00:38:14:21,00:38:17:09,- Wait for us! - Help! Help us!
00:38:20:05,00:38:23:15,Pick us up! Pick us up!
00:38:27:08,00:38:28:19,Come back!
00:38:30:13,00:38:31:18,Torpedo!
00:39:03:01,00:39:07:00,Abandon ship! Abandon ship!
00:40:53:13,00:40:54:18,Help!
00:40:54:22,00:40:56:14,Get us out of here!
00:41:11:07,00:41:12:14,"Spitfires, George."
00:41:12:18,00:41:15:02,Greatest plane ever built.
00:41:18:22,00:41:19:22,You didn't even look.
00:41:21:08,00:41:23:07,Rolls-Royce Merlin engines.
00:41:24:03,00:41:27:08,Sweetest sound you could hear out here.
00:41:28:03,00:41:29:03,Hello?
00:41:30:19,00:41:32:19,Could you open the door?
00:41:32:23,00:41:34:12,Hello? Can you hear me?
00:41:36:01,00:41:38:08,Open the door!
00:41:38:18,00:41:40:03,Do you hear me?
00:41:42:11,00:41:43:18,He wants to come out.
00:41:43:22,00:41:45:22,What have you done? Locked him in?
00:41:46:02,00:41:47:14,"Let him out, for God's sake."
00:41:47:18,00:41:48:18,Hello?
00:41:50:17,00:41:52:09,Let me out!
00:42:06:22,00:42:09:09,You haven't turned around.
00:42:11:23,00:42:13:18,No. We have a job to do.
00:42:15:03,00:42:18:07,Job? This is a pleasure yacht.
00:42:18:11,00:42:21:06,"You're weekend sailors, not the bloody navy."
00:42:21:22,00:42:23:13,A man your age?
00:42:24:00,00:42:26:11,Men my age dictate this war.
00:42:26:15,00:42:29:08,Why should we be allowed to send our children to fight it?
00:42:29:12,00:42:31:06,You should be at home!
00:42:31:08,00:42:35:00,"Well, there won't be any home if we allow a slaughter across the Channel."
00:42:42:01,00:42:43:18,He's turning tail. I'm gonna get after him.
00:42:45:17,00:42:46:17,Good luck.
00:42:46:21,00:42:49:21,Watch your fuel. You're at 15 gallons.
00:42:52:12,00:42:53:23,"15 gallons, understood."
00:42:56:01,00:42:57:15,"Best of luck, Collins."
00:43:00:16,00:43:02:20,"Collins, do you read?"
00:44:04:15,00:44:06:19,Oi! No! No!
00:44:06:23,00:44:08:17,Get off! Get off!
00:44:09:06,00:44:11:02,"Piss off, the both of you. It's too crowded."
00:44:11:06,00:44:12:12,You can't leave us!
00:44:13:14,00:44:14:15,Make some room!
00:44:14:19,00:44:15:19,No!
00:44:16:17,00:44:17:24,No! Get off!
00:44:18:04,00:44:19:16,"You men, leave off. You'll capsize the boat."
00:44:19:17,00:44:21:21,She's gone over twice on the way out here.
00:44:22:01,00:44:23:19,You have to stay calm. There are plenty of boats.
00:44:23:20,00:44:24:20,Calm?
00:44:24:24,00:44:27:06,"Wait till you get torpedoed, then tell us to be calm!"
00:44:27:19,00:44:29:02,You have life jackets?
00:44:29:06,00:44:30:14,"Yes, they do."
00:44:30:18,00:44:32:17,"Don't panic, boys. The water's not too rough"
00:44:32:21,00:44:33:23,or too cold.
