Start Time,End Time,Subtitle
00:17:18:06,00:17:20:11,"James, we talked about this."
00:17:21:18,00:17:24:02,Mommy's not here anymore.
00:17:25:03,00:17:26:09,JAMES: Where?
00:17:28:03,00:17:30:18,"WOMAN: That's enough, kids. Say bye-bye."
00:17:30:22,00:17:33:23,"Listen, I'm gonna send some presents with Grandpa, all right?"
00:17:34:03,00:17:35:03,"And you be good, you be..."
00:17:35:07,00:17:36:23,[DIAL TONE]
00:17:42:19,00:17:43:21,[KNOCKING ON DOOR]
00:17:45:16,00:17:47:21,- Our ride's on the roof. - Right.
00:17:55:01,00:17:56:05,"Hey, are you okay?"
00:17:56:23,00:17:58:06,"Yeah. Yeah, I'm fine. Why?"
00:17:58:10,00:18:00:20,"Well, down in the dream, Mal showing up."
00:18:00:24,00:18:04:06,"Look, I'm, uh, sorry about your leg. Won't happen again."
00:18:04:10,00:18:08:00,"- It's getting worse, isn't it? - One apology's all you're getting, all right?"
00:18:08:04,00:18:10:16,- Where's Nash? - He hasn't shown. You wanna wait?
00:18:10:20,00:18:13:07,We were supposed to deliver Saito's expansion plans...
00:18:13:11,00:18:15:05,...to Cobol Engineering two hours ago.
00:18:15:09,00:18:18:15,"By now, they know we failed. It's time we disappear."
00:18:19:04,00:18:21:16,#NAME?
00:18:21:20,00:18:26:02,"I can lie low there, maybe sniff out a job when things quiet down. You?"
00:18:26:06,00:18:27:12,Stateside.
00:18:27:17,00:18:29:05,Send my regards.
00:18:35:13,00:18:39:02,He sold you out. Thought to come to me and bargain for his life.
00:18:41:06,00:18:43:01,So I offer you the satisfaction.
00:18:47:00,00:18:49:13,It's not the way I deal with things.
00:18:52:14,00:18:54:02,[HELICOPTER STARTING]
00:19:01:19,00:19:04:16,#NAME?
00:19:05:01,00:19:07:13,But I can't speak for Cobol Engineering.
00:19:22:02,00:19:25:02,#NAME?
00:19:26:17,00:19:29:02,#NAME?
00:19:29:06,00:19:31:11,If you can steal an idea from someone's mind...
00:19:31:15,00:19:33:12,...why can't you plant one there instead?
00:19:33:16,00:19:35:18,"Okay, here's me planting an idea in your head."
00:19:35:22,00:19:39:06,"I say, ""Don't think about elephants."" What are you thinking about?"
00:19:39:10,00:19:40:10,Elephants.
00:19:40:14,00:19:43:18,"Right. But it's not your idea, because you know I gave it to you."
00:19:43:23,00:19:46:22,The subject's mind can always trace the genesis of the idea.
00:19:47:02,00:19:50:08,- True inspiration's impossible to fake. - That's not true.
00:19:52:21,00:19:55:23,#NAME?
00:19:56:03,00:19:58:19,Because I can find my own way to square things with Cobol.
00:19:58:23,00:20:00:24,Then you do have a choice.
00:20:01:04,00:20:02:23,"Then I choose to leave, sir."
00:20:07:20,00:20:09:13,Tell the crew where you want to go.
00:20:14:19,00:20:15:21,"Hey, Mr. Cobb."
00:20:19:01,00:20:21:03,How would you like to go home?
00:20:21:22,00:20:25:05,To America. To your children.
00:20:25:15,00:20:28:23,You can't fix that. No one can.
00:20:29:03,00:20:32:09,#NAME?
00:20:36:04,00:20:39:01,#NAME?
00:20:39:05,00:20:42:18,No idea is simple when you need to plant it in somebody else's mind.
00:20:43:04,00:20:46:16,My main competitor is an old man in poor health.
00:20:46:20,00:20:50:14,His son will soon inherit control of the corporation.
00:20:51:12,00:20:55:01,I need him to decide to break up his father's empire.
00:20:55:18,00:20:58:10,#NAME?
00:21:00:12,00:21:03:18,"If I were to do this, if I even could do it..."
00:21:03:22,00:21:05:20,...l'd need a guarantee.
00:21:06:00,00:21:09:06,- How do I know you can deliver? - You don't.
00:21:09:20,00:21:11:08,But I can.
00:21:11:22,00:21:16:13,So do you want to take a leap of faith...
00:21:16:23,00:21:20:19,"...or become an old man, filled with regret..."
00:21:20:23,00:21:23:13,...waiting to die alone?
00:21:26:15,00:21:30:22,"Assemble your team, Mr. Cobb. And choose your people more wisely."
00:21:39:01,00:21:40:21,"Look, I know how much you wanna go home."
00:21:43:16,00:21:45:09,This can't be done.
00:21:45:13,00:21:48:20,"Yes, it can. Just have to go deep enough."
00:21:49:01,00:21:50:13,You don't know that.
00:21:51:21,00:21:53:17,I've done it before.
00:21:54:22,00:21:56:03,Who'd you do it to?
00:22:01:09,00:22:03:09,Why are we going to Paris?
00:22:04:23,00:22:06:16,We're gonna need a new architect.
00:22:07:06,00:22:08:23,[BELLS TOLLING]
00:22:23:14,00:22:25:15,"COBB: You never did like your office, did you?"
00:22:27:10,00:22:30:11,No space to think in that broom cupboard.
00:22:32:08,00:22:34:14,Is it safe for you to be here?
00:22:35:19,00:22:38:06,Extradition between France and the United States...
00:22:38:10,00:22:40:15,"...is a bureaucratic nightmare, you know that."
00:22:40:19,00:22:43:13,I think they might find a way to make it work in your case.
00:22:43:17,00:22:48:05,"Look, I, uh, brought these for you to give to the kids when you have a chance."
00:22:48:09,00:22:50:23,It'll take more than the occasional stuffed animal...
00:22:51:03,00:22:54:03,...to convince those children they still have a father.
00:22:54:07,00:22:57:03,I'm just doing what I know. I'm doing what you taught me.
00:22:57:07,00:22:58:19,I never taught you to be a thief.
00:22:58:23,00:23:01:04,"No, you taught me to navigate people's minds."
00:23:01:08,00:23:02:15,But after what happened...
00:23:02:19,00:23:06:09,...there weren't a whole lot of legitimate ways for me to use that skill.
00:23:11:12,00:23:13:00,"What are you doing here, Dom?"
00:23:15:03,00:23:17:12,I think I found a way home.
00:23:17:16,00:23:21:07,"It's a job for some very, very powerful people."
00:23:21:12,00:23:25:22,People who I believe can fix my charges permanently.
00:23:26:17,00:23:27:24,But I need your help.
00:23:28:16,00:23:31:24,You're here to corrupt one of my brightest and best.
00:23:32:04,00:23:35:01,You know what I'm offering. Let them decide for themselves.
00:23:35:05,00:23:36:16,#NAME?
00:23:36:20,00:23:38:04,You remember.
00:23:38:08,00:23:41:14,"It's the chance to build cathedrals, entire cities..."
00:23:41:18,00:23:43:12,...things that never existed...
00:23:43:16,00:23:46:21,...things that couldn't exist in the real world.
00:23:47:01,00:23:52:05,So you want me to let someone else follow you into your fantasy?
00:23:52:09,00:23:54:08,They don't actually come into the dream.
00:23:54:12,00:23:57:19,They just design the levels and teach them to the dreamers. That's all.
00:23:57:23,00:23:59:04,Design it yourself.
00:24:01:21,00:24:03:09,Mal won't let me.
00:24:09:14,00:24:11:17,"Come back to reality, Dom."
00:24:13:01,00:24:15:15,#NAME?
00:24:15:24,00:24:18:13,"Those kids, your grandchildren..."
00:24:18:17,00:24:22:17,...they're waiting for their father to come back home. That's their reality.
00:24:22:21,00:24:26:01,"And this job, this last job, that's how I get there."
00:24:26:14,00:24:30:05,I would not be standing here if I knew any other way.
00:24:33:09,00:24:36:07,I need an architect who's as good as I was.
00:24:40:12,00:24:42:12,I've got somebody better.
00:24:42:17,00:24:43:18,Ariadne?
00:24:46:08,00:24:48:21,I'd like you to meet Mr. Cobb.
00:24:49:06,00:24:50:09,Pleased to meet you.
00:24:50:13,00:24:55:05,"If you have a few moments, Mr. Cobb has a job offer he'd like to discuss with you."
00:24:55:09,00:24:56:10,A work placement?
00:24:56:19,00:24:58:02,Not exactly.
00:24:58:06,00:24:59:14,I have a test for you.
00:25:00:08,00:25:02:10,You're not gonna tell me anything first?
00:25:02:14,00:25:05:05,"Before I describe the job, I have to know you can do it."
00:25:05:09,00:25:08:14,"- Why? - It's not, strictly speaking, legal."
00:25:11:16,00:25:16:08,You have two minutes to design a maze that it takes one minute to solve.
00:25:18:06,00:25:19:10,Stop.
00:25:21:20,00:25:23:01,Again.
00:25:25:05,00:25:26:13,Stop.
00:25:29:17,00:25:31:19,You're gonna have to do better than that.
00:25:44:19,00:25:46:01,That's more like it.
00:26:06:06,00:26:09:04,COBB: They say we only use a fraction of our brain's true potential.
00:26:09:08,00:26:10:24,"Now, that's when we're awake."
00:26:11:04,00:26:14:04,"When we're asleep, our mind can do almost anything."
00:26:14:08,00:26:15:08,Such as?
00:26:15:12,00:26:19:12,Imagine you're designing a building. You consciously create each aspect.
00:26:19:16,00:26:23:12,"But sometimes, it feels like it's almost creating itself, if you know what I mean."
00:26:23:16,00:26:25:16,"Yeah, like I'm discovering it."
00:26:25:20,00:26:28:02,"Genuine inspiration, right?"
00:26:28:06,00:26:31:14,"Now, in a dream, our mind continuously does this."
00:26:31:18,00:26:36:09,We create and perceive our world simultaneously.
00:26:36:13,00:26:39:23,And our mind does this so well that we don't even know it's happening.
00:26:40:03,00:26:42:20,That allows us to get right in the middle of that process.
00:26:43:00,00:26:45:09,#NAME?
00:26:45:13,00:26:47:04,"Now, this is where I need you."
00:26:47:09,00:26:49:18,You create the world of the dream.
00:26:49:22,00:26:55:07,"We bring the subject into that dream, and they fill it with their subconscious."
00:26:55:11,00:27:00:03,How could I ever acquire enough detail to make them think that it's reality?
00:27:00:07,00:27:03:18,"Well, dreams, they feel real while we're in them, right?"
00:27:03:22,00:27:07:15,It's only when we wake up that we realize something was actually strange.
00:27:09:02,00:27:10:12,Let me ask you a question.
00:27:10:16,00:27:14:01,"You never really remember the beginning of a dream, do you?"
00:27:14:05,00:27:17:06,You always wind up right in the middle of what's going on.
00:27:17:10,00:27:18:11,"I guess, yeah."
00:27:18:15,00:27:20:05,So how did we end up here?
00:27:20:14,00:27:22:16,"Well, we just came from the, uh..."
00:27:22:21,00:27:26:07,"Think about it, Ariadne. How did you get here?"
00:27:26:21,00:27:28:19,Where are you right now?
00:27:32:03,00:27:33:07,We're dreaming?
00:27:33:11,00:27:35:22,"You're in the middle of the workshop, sleeping."
00:27:36:02,00:27:39:01,This is your first lesson in shared dreaming. Stay calm.
00:27:39:05,00:27:40:10,[CUP RATTLING]
00:27:40:22,00:27:42:15,[RUMBLING]
00:28:16:09,00:28:18:12,"If it's just a dream, then why are you...?"
00:28:18:16,00:28:19:23,"[""NON, JE NE REGRETTE RIEN"" PLAYING]"
00:28:20:03,00:28:21:21,"COBB: Because it's never just a dream, is it?"
00:28:22:01,00:28:25:08,"And a face full of glass hurts like hell. When you're in it, it feels real."
00:28:25:12,00:28:27:17,ARTHUR: That's why the military developed dream sharing.
00:28:27:21,00:28:31:14,"It was a training program for soldiers to shoot, stab and strangle each other..."
00:28:31:18,00:28:32:21,...and then wake up.
00:28:33:04,00:28:34:23,ARIADNE: How did architects become involved?
00:28:35:03,00:28:37:21,"COBB: Well, someone had to design the dreams, right?"
00:28:39:00,00:28:40:07,Why don't you give us another five minutes?
00:28:42:08,00:28:46:07,"Five minutes? What...? We were talking for, like, at least an hour."
00:28:46:11,00:28:48:17,"In a dream, your mind functions more quickly..."
00:28:48:21,00:28:51:17,...therefore time seems to feel more slow.
00:28:51:21,00:28:55:07,Five minutes in the real world gives you an hour in the dream.
00:28:55:24,00:28:59:02,Why don't you see what you can get up to in five minutes?
00:29:01:02,00:29:02:13,[MACHINE HISSING]
00:29:04:24,00:29:07:22,"COBB: You've got the basic layout. Bookstore, café."
00:29:08:02,00:29:09:18,Almost everything else is here too.
00:29:09:22,00:29:12:20,ARIADNE: Who are the people? - Projections of my subconscious.
00:29:13:00,00:29:14:04,#NAME?
00:29:14:08,00:29:16:21,"Remember, you are the dreamer. You build this world."
00:29:17:01,00:29:19:17,I am the subject. My mind populates it.
00:29:19:21,00:29:21:19,You can literally talk to my subconscious.
00:29:21:23,00:29:24:20,That's one of the ways we extract information from the subject.
00:29:25:00,00:29:26:07,How else do you do it?
00:29:26:12,00:29:30:11,"By creating something secure, like a bank vault or a jail."
00:29:30:15,00:29:34:08,The mind automatically fills it with information it's trying to protect.
00:29:34:13,00:29:37:08,#NAME?
00:29:37:12,00:29:38:13,Well...
00:29:38:17,00:29:43:05,I guess I thought that the dream space would be all about the visual...
00:29:43:09,00:29:45:05,...but it's more about the feel of it.
00:29:45:17,00:29:49:20,My question is what happens when you start messing with the physics of it all?
00:29:51:12,00:29:53:09,[RUMBLING THEN METAL GROANING]
00:30:31:04,00:30:32:18,"It's something, isn't it?"
00:30:33:20,00:30:35:03,"Yes, it is."
00:30:59:01,00:31:00:15,ARIADNE: Why are they all looking at me?
00:31:00:19,00:31:04:07,Because my subconscious feels that someone else is creating this world.
