Start Time,End Time,Subtitle
00:13:20:13,00:13:23:09,- Why were you dusting for prints? - I wasn't.
00:13:24:06,00:13:25:18,She was.
00:13:29:00,00:13:32:02,Sir. Congressman Gilly's wife has been calling in.
00:13:32:05,00:13:36:03,The congressman never made it home after the Wayne Foundation event.
00:13:36:19,00:13:38:11,That's a job for the police?
00:13:38:15,00:13:41:11,"When you and Dent cleaned the streets, you cleaned them good."
00:13:41:15,00:13:45:10,"Pretty soon we'll be chasing down, uh, overdue library books."
00:13:45:14,00:13:46:24,
00:13:47:04,00:13:51:08,"And yet here you are, like we're still at war."
00:13:53:07,00:13:55:13,"- What's your name, son? - Blake, sir."
00:13:55:17,00:13:57:12,You have something you want to ask me?
00:13:59:18,00:14:03:02,"It's about that night. This night, eight years ago. The night Dent died."
00:14:03:06,00:14:05:05,The last confirmed sighting of the Batman.
00:14:05:16,00:14:08:11,"He murders those people, takes down two SWAT teams..."
00:14:08:15,00:14:12:09,...breaks Dent's neck and then just vanishes?
00:14:12:20,00:14:15:05,"I'm not hearing a question, son."
00:14:15:09,00:14:17:08,Don't you want to know who he was?
00:14:18:05,00:14:20:15,I know exactly who he was.
00:14:22:19,00:14:24:14,He was the Batman.
00:14:25:05,00:14:26:15,
00:14:26:19,00:14:29:13,Let's go see about the congressman's wife.
00:14:38:09,00:14:39:20,Master Wayne?
00:14:41:15,00:14:43:14,Master Wayne?
00:15:14:11,00:15:16:20,You haven't been down here in a long time.
00:15:16:24,00:15:20:13,Trying to find out more about our jewel thief. I ran her prints.
00:15:20:19,00:15:22:12,Unless she's lost a lot of weight...
00:15:23:19,00:15:26:03,...she was wearing someone else's fingerprints.
00:15:26:07,00:15:27:10,She's good.
00:15:27:14,00:15:31:03,"She may be, but we have a trace on the necklace."
00:15:31:07,00:15:33:22,We do. I cross-referenced the address she went back to...
00:15:34:02,00:15:37:17,"...with police data on high-end B-and-E's, and, um..."
00:15:38:04,00:15:39:23,Selina Kyle.
00:15:40:03,00:15:44:23,"The databases are full of close-calls, tips from fences."
00:15:45:03,00:15:49:03,"She's good, but the ground is shrinking beneath her feet."
00:15:49:07,00:15:52:01,We should send the police before she fences the pearls.
00:15:52:05,00:15:54:10,She won't. She likes them too much.
00:15:54:14,00:15:56:09,And they weren't what she was after.
00:15:56:13,00:15:58:15,#NAME?
00:15:58:19,00:16:01:19,It was printer toner mixed with graphite on the safe.
00:16:01:23,00:16:04:13,It gives a good pull and it's untraceable.
00:16:04:17,00:16:07:13,Fascinating. You two should exchange notes over coffee.
00:16:07:17,00:16:10:00,You're trying to set me up with a jewel thief?
00:16:10:04,00:16:14:16,"At this point, I'd set you up with a chimpanzee, if it brought you back to the world."
00:16:14:19,00:16:17:01,There's nothing out there for me.
00:16:17:07,00:16:18:19,And that's the problem.
00:16:18:23,00:16:21:13,You hung up your cape and your cowl but you didn't move on.
00:16:21:17,00:16:23:24,You never went to find a life. To find someone.
00:16:24:04,00:16:25:13,Alfred...
00:16:26:13,00:16:28:08,...I did find someone.
00:16:28:12,00:16:29:22,"I know, and you lost them."
00:16:30:02,00:16:32:01,"But that's all part of living, sir."
00:16:32:05,00:16:36:08,"But you're not living, you're just waiting, hoping for things to go bad again."
00:16:36:13,00:16:38:00,Remember when you left Gotham?
00:16:38:04,00:16:41:04,"Before all this, before Batman?"
00:16:41:22,00:16:42:23,You were gone seven year.
00:16:43:03,00:16:47:17,"Seven years I waited, hoping that you wouldn't come back."
00:16:47:21,00:16:51:12,"Every year, I took a holiday. I went to Florence."
00:16:51:16,00:16:53:22,There's this café on the banks of the Arno.
00:16:54:02,00:16:57:08,Every fine evening I'd sit there and order a Fernet Branca.
00:16:58:04,00:17:00:10,I had this fantasy...
00:17:01:12,00:17:04:05,...that I would look across the tables...
00:17:04:21,00:17:08:08,"...and I'd see you there, with a wife."
00:17:08:13,00:17:10:08,Maybe a couple of kids.
00:17:12:10,00:17:16:07,"You wouldn't say anything to me, nor me to you."
00:17:17:14,00:17:21:07,But we'd both know that you'd made it.
00:17:22:05,00:17:23:19,That you were happy.
00:17:26:16,00:17:30:09,I never wanted you to come back to Gotham.
00:17:31:13,00:17:36:01,"I always knew there was nothing here for you, except pain and tragedy."
00:17:36:05,00:17:39:02,And I wanted something more for you than that.
00:17:44:03,00:17:45:11,I still do.
00:17:49:17,00:17:52:13,They wash up here a couple of times a month.
00:17:52:17,00:17:54:04,More when it gets colder.
00:17:54:08,00:17:56:07,"Homeless, sheltering in the tunnels."
00:17:57:23,00:18:02:02,"We pulled him from the basin, but other than that we didn't touch him."
00:18:04:11,00:18:06:02,- What? - Name's Jimmy.
00:18:06:06,00:18:07:16,He's from St. Swithin's.
00:18:08:07,00:18:12:05,It's the boys' home where I coach some ball.
00:18:15:00,00:18:16:17,Jimmy hadn't been around for months.
00:18:16:21,00:18:19:09,#NAME?
00:18:19:13,00:18:23:10,He aged out. We don't have the resources to keep boys on after 16.
00:18:23:13,00:18:25:16,I thought the Wayne Foundation gave money for that.
00:18:25:19,00:18:27:22,Not for the past couple of years.
00:18:28:02,00:18:31:22,"- He has a brother here, doesn't he? - Mark. I'll tell him."
00:18:32:02,00:18:35:02,"I'd like to, if that's all right."
00:18:36:05,00:18:38:07,You know what he was doing in the tunnels?
